"","x"
"1",NA
"2",58369.0779430687
"3",88590.514875642
"4",100187.196510971
"5",123729.62696939
"6",128795.147302287
"7",137565.246279227
"8",140153.433928332
"9",143584.933396272
"10",152600.621170066
"11",153856.792705856
"12",153545.337912514
"13",158105.056617238
"14",159459.649420121
"15",160451.055874702
