_id,count
7,4025
6,4661
3,3746
5,2876
10,36945
1,6954
13,51757
17,16292
14,37940
19,26816
18,22224
23,69603
4,1533
2,9450
21,18819
15,25556
16,16170
22,16921
0,41665
20,24085
12,38939
9,25783
11,33511
8,29492
