social,likes,createdDate
"instagram",728,2014-12-18T08:59:21Z
"facebook",145,2014-12-18T09:59:51Z
"instagram",728,2014-12-18T09:59:53Z
"facebook",146,2014-12-18T11:00:22Z
"instagram",730,2014-12-18T11:00:25Z
"facebook",147,2014-12-18T12:00:54Z
"instagram",734,2014-12-18T12:00:57Z
"facebook",147,2014-12-18T13:01:27Z
"instagram",734,2014-12-18T13:01:29Z
"facebook",149,2014-12-18T14:01:59Z
"instagram",734,2014-12-18T14:02:01Z
"facebook",149,2014-12-18T15:02:32Z
"instagram",733,2014-12-18T15:02:34Z
"facebook",150,2014-12-18T16:03:05Z
"instagram",732,2014-12-18T16:03:07Z
"facebook",150,2014-12-18T17:03:38Z
"instagram",732,2014-12-18T17:03:40Z
"facebook",150,2014-12-18T18:04:12Z
"instagram",732,2014-12-18T18:04:14Z
"facebook",150,2014-12-18T19:04:45Z
"instagram",732,2014-12-18T19:04:48Z
"facebook",150,2014-12-18T20:05:18Z
"instagram",732,2014-12-18T20:05:21Z
"facebook",151,2014-12-18T21:05:51Z
"instagram",732,2014-12-18T21:05:54Z
"facebook",153,2014-12-18T22:06:25Z
"instagram",732,2014-12-18T22:06:28Z
"facebook",154,2014-12-18T23:06:58Z
"instagram",732,2014-12-18T23:07:19Z
"facebook",154,2014-12-19T00:07:53Z
"instagram",732,2014-12-19T00:07:56Z
"facebook",154,2014-12-19T01:08:27Z
"instagram",733,2014-12-19T01:08:30Z
"facebook",154,2014-12-19T02:09:00Z
"instagram",732,2014-12-19T02:09:02Z
"facebook",154,2014-12-19T03:09:33Z
"instagram",732,2014-12-19T03:09:35Z
"facebook",154,2014-12-19T04:10:05Z
"instagram",732,2014-12-19T04:10:08Z
"facebook",154,2014-12-19T05:10:38Z
"instagram",732,2014-12-19T05:10:40Z
"facebook",154,2014-12-19T06:11:11Z
"instagram",732,2014-12-19T06:11:13Z
"facebook",154,2014-12-19T07:11:43Z
"instagram",734,2014-12-19T07:11:46Z
"facebook",154,2014-12-19T08:12:16Z
"instagram",733,2014-12-19T08:12:18Z
"facebook",154,2014-12-19T09:12:48Z
"instagram",733,2014-12-19T09:12:50Z
"facebook",154,2014-12-19T10:13:21Z
"instagram",735,2014-12-19T10:13:23Z
"facebook",155,2014-12-19T11:13:53Z
"instagram",735,2014-12-19T11:13:55Z
"facebook",155,2014-12-19T12:14:26Z
"instagram",739,2014-12-19T12:14:28Z
"facebook",155,2014-12-19T13:14:59Z
"instagram",739,2014-12-19T13:15:01Z
"facebook",155,2014-12-19T14:15:32Z
"instagram",740,2014-12-19T14:15:35Z
"facebook",155,2014-12-19T15:16:05Z
"instagram",741,2014-12-19T15:16:08Z
"facebook",155,2014-12-19T16:16:39Z
