"","username","photosCount","commentsCount","likesCount","fit.cluster"
"176","dinnerinprogress",25,3,204,1
"177","tery1717",4,2,7,5
"178","mona.mirzaagha.pt",0,1,1,5
"179","sweetcsdesigns",0,1,13,5
"180","iaia_mar",0,1,13,5
"181","patrmon",0,1,9,5
"182","sodastreamit",0,1,12,5
"183","ultimateigguide",0,1,7,5
"184","practical",0,1,1,5
"185","martacar",0,1,2,5
"186","migdoolas",0,1,0,5
"187","tidss97",0,1,0,5
"188","margokwekwe",0,1,0,5
"189","food2taste",65,11,40,6
"190","promodnica",0,1,1,5
"191","lilloelilla147",0,3,116,4
"192","sardegnamare",0,2,14,5
"193","stefaniamarin0",0,2,14,5
"194","perlapol",0,1,5,5
"195","adamseye",0,3,7,5
"196","sleefood",0,1,24,5
"197","barbarasjourney",0,1,0,5
"198","tonylovely",0,1,0,5
"199","bodyfitbychristina",0,1,1,5
"200","sandyferli",0,1,0,5
"201","ramochic",0,4,15,5
"202","elevationzer0",0,1,1,5
"203","turo93",0,1,15,5
"204","sara_starla",0,4,0,5
"205","spread_the_thread",0,1,2,5
"206","freshcreativeagency",0,1,0,5
"207","hence9keeping",0,1,0,5
"208","chicagoforrest",0,1,0,5
"209","daria_909_",0,1,3,5
"210","thepersiansalad_",0,2,2,5
"211","louloucel",0,1,0,5
"212","mislead3statistics",0,1,0,5
"213","network6reminding",0,1,1,5
"214","cirus",8,1,31,2
"215","yoco55",0,7,4,5
"216","justlovinglivinglife",0,1,13,5
"217","jaukuhinji",0,1,43,4
"218","franchino",0,1,1,5
"219","mablebeauty88",0,1,0,5
"220","black___ninja1",0,1,0,5
"221","frammys",0,3,59,4
"222","creativity_flower",0,2,0,5
"223","laura_cy_71",0,1,1,5
"224","vivirose_",0,1,3,5
"225","jacobfood",0,1,7,5
"226","romeexpress",18,1,13,2
"227","gianina.rose",3,3,0,5
"228","viesseauto",0,1,10,5
"229","ficoeuva",8,22,26,2
"230","mabrunofficial",0,1,6,5
"231","sweetvanillasbakery",0,1,24,5
"232","bolognafood",0,3,30,5
"233","dietistapiovanelli",36,7,5,3
"234","free.cameralens.mug",0,1,0,5
"235","lenselse_erika",0,1,1,5
"236","developed3marriage",0,1,0,5
"237","silvianagliati",167,20,20,7
"238","vivajosefine",0,1,0,5
"239","mikimatisse1",0,1,5,5
"240","photocandyapp",0,1,2,5
"241","cecialiann",25,5,27,3
"242","thegummysweet",0,1,1,5
"243","agatapiu",32,3,3,3
"244","andrealunachef",26,1,58,3
"245","bozz_m",56,10,11,6
"246","goutdfood",0,2,113,4
"247","johnnyjet",0,1,4,5
"248","etamilerosi",0,1,7,5
"249","sylgr",0,1,0,5
"250","theartisticgallery",0,1,3,5
"251","tonemaurstad",0,1,0,5
"252","helloiamchiara",0,1,0,5
"253","silviac_ilcassettodellericette",25,1,167,3
"254","cristicricri2",0,2,11,5
"255","pupa17",12,29,1,2
"256","elenaberr_",0,4,2,5
"257","labettina77",0,1,30,5
"258","sileapds",0,1,11,5
"259","big_stagram",0,1,0,5
"260","pippi_four",0,1,12,5
"261","anton.ego.food",0,1,0,5
"262","depasqui",44,30,65,3
"263","socoolstuff1",0,1,0,5
"264","cinzietta32",0,1,0,5
"265","closetteblog",3,2,31,5
"266","luisela_simao",0,1,8,5
"267","christiancarta",26,14,26,3
"268","rizzorosetta",5,9,6,2
"269","wilsonadimir_wichojr",0,1,0,5
"270","loves_scott_bikes",0,1,1,5
"271","ali_capoferri",53,2,46,6
"272","photographyfortravellers",0,1,4,5
"273","marino_dibari",0,1,0,5
"274","ema_nu_ele",0,1,1,5
"275","vassiliev_alexandr",0,1,0,5
"276","fabriziasiena",0,1,0,5
"277","ilgiardinonascosto",0,3,7,5
"278","therealkwaichi",0,2,36,5
"279","vincent_0812",0,1,23,5
"280","kaliduuu",0,1,42,4
"281","mikka180681",0,1,16,5
"282","entre_deux_rives_b_and_b",0,1,7,5
"283","lunanormanna",0,3,32,5
"284","mendoza_roger",0,1,0,5
"285","ramblingrama",0,1,3,5
"286","cristucci",0,1,1,5
"287","marmellatadilamponi",0,1,22,5
"288","adam_giola",0,1,0,5
"289","jj_editor_gerardopineda",0,1,1,5
"290","cajdea",0,1,8,5
"291","marcello_attanasio",6,14,64,4
"292","cake_bake",0,2,92,4
"293","the_youngdramma_hesfire",0,1,0,5
"294","arabian_streetwear",0,1,1,5
"295","ioconmiofiglio",5,4,47,4
"296","nonninagio",0,4,381,1
"297","likepervect",0,1,0,5
"298","s_22",0,1,6,5
"299","maet83",0,2,0,5
"300","lapichinaincucina",0,1,21,5
"301","marta_monachino",31,14,3,3
"302","_mp_93",44,14,5,3
"303","rosarosebistrot",24,18,6,3
"304","societaumanitaria",14,17,0,2
"305","adelaide_arsuffi",0,4,0,5
"306","emotional.eating",0,5,133,4
"307","astabea",36,27,234,1
"308","ekaterinamurphy",0,1,7,5
"309","biancavaniglia",59,7,27,6
"310","code_dre",0,1,0,5
"311","claliccia86",0,1,12,5
"312","ponyld",0,1,0,5
"313","feltballrugaustralia",0,1,1,5
"314","bribrilli",0,1,2,5
"315","giogio51za",0,1,2,5
"316","theeyeofthelion",0,1,0,5
"317","lizaveta_andrevna",0,1,0,5
"318","zcostanza",0,3,1,5
"319","everythingbutwine",0,1,2,5
"320","giuliamalerba_",0,1,1,5
"321","lovecooking_",9,1,26,2
"322","giovannaromito",0,1,21,5
"323","ilpandizenzero",2,2,97,4
"324","alessia_cullari",0,1,0,5
"325","shrinktea",0,1,0,5
"326","marti_ali_cri",0,1,0,5
"327","cristinagangemi",0,1,2,5
"328","iamtessale",2,3,1,5
"329","liciacaponera02",0,1,0,5
"330","mamma_gy",105,33,219,7
"331","vitasumarte_r",0,1,49,4
"332","aperifish",0,1,88,4
"333","t_ocd",0,1,1,5
"334","bild_des_tages",0,1,0,5
"335","muffin_svampi",0,1,0,5
"336","valy_lola",0,1,8,5
"337","luci.vasconcelos.16",0,2,23,5
"338","elisapandamelie",0,1,5,5
"339","cristianagiovoni",0,1,4,5
"340","chiara.fabri.byron",0,2,0,5
"341","monto18_",0,1,0,5
"342","paolo.gr_94",0,1,15,5
"343","shotbyana",0,3,9,5
"344","valebabi",0,1,1,5
"345","rockngiu",0,2,6,5
"346","la_it_luce",0,1,12,5
"347","besosmade",0,1,4,5
"348","lastrubia",0,2,0,5
"349","gio_m__",0,1,11,5
"350","jgerardo_s",0,1,0,5
"351","giampi.b",0,2,33,5
"352","samgiacopelli",0,1,27,5
"353","mariannamel76",0,2,6,5
"354","simplypeperosa",0,1,1,5
"355","renatostefanini",0,3,0,5
"356","laura_casadei",0,1,0,5
"357","baketherapy",0,1,2,5
"358","michelalombardi",0,1,11,5
"359","pamy1107",0,1,0,5
"360","valeriapagliuso",0,1,3,5
"361","sabryeffe",0,1,0,5
"362","silvia_vi",0,2,0,5
"363","diananaming",0,1,5,5
"364","valeriaemme",0,1,15,5
"365","sauroxxxl",0,2,4,5
"366","loan7mistakes7",0,1,3,5
"367","cahmantovani",92,22,12,6
"368","orestinablu",0,1,8,5
"369","simi__78",0,2,168,4
"370","pierdomenico96",0,1,4,5
"371","ste_m73",0,1,0,5
"372","sayyesblog",0,1,2,5
"373","mirtillidiprico",0,1,5,5
"374","gatadaplar",0,1,25,5
"375","barberbistroatl",0,1,1,5
"376","femicorazon",0,1,7,5
"377","mlaterza_fit",0,1,0,5
"378","manuebarto",0,1,46,4
"379","nutritionlovingchef",0,1,0,5
"380","laangie",6,9,10,2
"381","_chiaretta93_",0,2,52,4
"382","danielaforesti",0,1,6,5
"383","1kndra_",0,1,0,5
"384","hilary23here",0,1,0,5
"385","lolimpo_",0,2,3,5
"386","prettyinmad",0,1,12,5
"387","gastronomiadaemilio",2,2,9,5
"388","sicilianicreativi",0,4,92,4
"389","dissonantyouth",0,1,2,5
"390","nastyamardare",0,1,0,5
"391","ariannagabrieli",0,3,151,4
"392","rossella_la",0,1,29,5
"393","unqis",0,1,0,5
"394","biancatecchiati",0,1,76,4
"395","occhiovunque",0,1,1,5
"396","frapoli94",11,1,76,4
"397","amisuradibimbo",17,1,14,2
"398","annamoru",78,78,138,6
"399","iridea13",1,1,1,5
"400","luciabini68",0,2,11,5
"401","letortediraffa",0,2,50,4
"402","ericu12",0,1,229,1
"403","ilenia_sapia",0,1,5,5
"404","mcvill",26,1,1,3
"405","futurvitto",0,1,20,5
"406","_larapessoa",0,1,1,5
"407","zeewschw",0,1,0,5
"408","axpope",0,1,1,5
"409","israel_davg",0,2,20,5
"410","mike.schorr",0,1,3,5
"411","lisabise",0,1,0,5
"412","vanessaegia",5,3,0,2
"413","ueppajuls",0,1,6,5
"414","monolocaledelgusto",208,2,82,7
"415","keepitcosy",0,1,0,5
"416","lellomokaspina",0,2,5,5
"417","terebuganville",0,1,22,5
"418","asifborgave",0,1,3,5
"419","marco_puntoni",0,1,1,5
"420","annafurno",0,1,45,4
"421","yourwrapgirltee",0,1,0,5
"422","adriana_chicco46",0,1,22,5
"423","gio_asc",0,1,2,5
"424","filippo_marchi",0,1,1,5
"425","flavide",1,1,0,5
"426","reppina",0,1,8,5
"427","ricetteracconti",3,2,24,5
"428","che940",0,1,3,5
"429","divergenceclothing",0,1,3,5
"430","poppivale81",0,2,7,5
"431","eraserhead_75",0,1,2,5
"432","angolodelleghiottonerie",133,2,181,7
