id,category,earlyLikes,earlyComments,totalComments,totalLikes
866618308151406072_1574448514,o,10,0,0,10
879559382876482888_1574448514,a,23,1,1,27
868285473569041580_1574448514,o,25,0,0,25
914524762870836264_1574448514,c,86,4,4,104
883943857483869436_1574448514,c,47,7,7,54
868013913893432949_1574448514,o,21,0,0,23
917973458618871136_1574448514,c,76,3,3,82
874097300068560387_1574448514,c,33,3,3,36
906483987092270942_1574448514,c,86,7,7,88
904313540451954473_1574448514,c,64,5,5,72
878106278561770809_1574448514,c,34,6,8,43
869772678623849560_1574448514,o,23,0,0,23
916766166909120175_1574448514,c,104,16,16,107
917236259543772595_1574448514,c,73,10,10,79
874556456584015027_1574448514,c,21,3,3,23
894892034919690011_1574448514,c,54,9,12,65
918273021489639274_1574448514,c,76,4,4,82
872597402236153187_1574448514,c,37,8,8,41
871057060978421652_1574448514,r,18,0,0,18
872284614305443710_1574448514,r,16,1,1,16
876111566581722181_1574448514,a,28,1,2,32
867359411351776903_1574448514,o,13,1,1,13
878347663114169630_1574448514,c,32,5,6,42
900142866103725370_1574448514,c,42,3,3,60
870950744565935865_1574448514,r,19,0,0,19
874604526671686936_1574448514,r,17,1,1,19
874611841722412500_1574448514,a,40,2,6,44
886800963497029437_1574448514,c,38,2,3,41
879060402962885648_1574448514,c,33,5,5,46
902879777364831392_1574448514,f,29,0,0,33
868798989522628309_1574448514,o,19,2,2,19
881993585589153682_1574448514,r,11,0,0,17
877635493992787402_1574448514,c,40,9,10,52
