timestamp,count,tag
2015-01-10,25905,EXPO2015gustomondo
2015-01-11,32372,EXPO2015gustomondo
2015-01-12,35142,EXPO2015gustomondo
2015-01-13,43944,EXPO2015gustomondo
2015-01-14,49155,EXPO2015gustomondo
2015-01-15,55684,EXPO2015gustomondo
2015-01-16,67117,EXPO2015gustomondo
2015-01-17,70263,EXPO2015gustomondo
2015-01-18,76107,EXPO2015gustomondo
2015-01-19,78998,EXPO2015gustomondo
2015-01-20,80132,EXPO2015gustomondo
2015-01-21,80490,EXPO2015gustomondo
2015-01-22,12515,EXPO2015gustomondo
2015-01-23,84619,EXPO2015gustomondo
2015-01-25,89178,EXPO2015gustomondo
2015-01-26,90686,EXPO2015gustomondo
2015-01-28,92675,EXPO2015gustomondo
2015-01-30,94229,EXPO2015gustomondo
2015-01-31,94190,EXPO2015gustomondo
2015-02-12,104772,EXPO2015gustomondo
2015-02-14,104869,EXPO2015gustomondo
2015-02-16,104968,EXPO2015gustomondo
2015-02-17,105827,EXPO2015gustomondo
2015-02-18,105838,EXPO2015gustomondo
2015-02-2,96771,EXPO2015gustomondo
2015-02-3,97938,EXPO2015gustomondo
2015-02-4,98751,EXPO2015gustomondo
2015-02-5,98830,EXPO2015gustomondo
2015-02-9,102034,EXPO2015gustomondo
2014-12-27,1615,EXPO2015artfun
2014-12-28,5746,EXPO2015artfun
2014-12-29,12104,EXPO2015artfun
2014-12-30,14392,EXPO2015artfun
2014-12-31,15287,EXPO2015artfun
2015-01-1,16678,EXPO2015artfun
2015-01-10,31321,EXPO2015artfun
2015-01-11,29848,EXPO2015artfun
2015-01-12,28965,EXPO2015artfun
2015-01-13,29037,EXPO2015artfun
2015-01-14,28534,EXPO2015artfun
2015-01-15,28505,EXPO2015artfun
2015-01-16,28568,EXPO2015artfun
2015-01-19,15995,EXPO2015artfun
2015-01-2,31837,EXPO2015artfun
2015-01-20,2020,EXPO2015artfun
2015-01-21,6154,EXPO2015artfun
2015-01-22,3830,EXPO2015artfun
2015-01-23,32265,EXPO2015artfun
2015-01-24,32573,EXPO2015artfun
2015-01-25,32583,EXPO2015artfun
2015-01-26,32764,EXPO2015artfun
2015-01-28,32981,EXPO2015artfun
2015-01-29,32987,EXPO2015artfun
2015-01-3,34215,EXPO2015artfun
2015-01-30,8634,EXPO2015artfun
2015-01-4,30762,EXPO2015artfun
2015-01-5,30696,EXPO2015artfun
2015-01-6,30486,EXPO2015artfun
2015-01-7,30430,EXPO2015artfun
2015-01-8,30954,EXPO2015artfun
2015-01-9,31193,EXPO2015artfun
2015-02-12,33457,EXPO2015artfun
2015-02-13,33496,EXPO2015artfun
2015-02-14,33533,EXPO2015artfun
2015-02-15,33599,EXPO2015artfun
2015-02-16,33675,EXPO2015artfun
2015-02-17,33723,EXPO2015artfun
2015-02-18,33738,EXPO2015artfun
2015-02-2,33093,EXPO2015artfun
2015-02-3,33309,EXPO2015artfun
2015-02-4,33327,EXPO2015artfun
2015-02-5,33194,EXPO2015artfun
2015-02-9,6413,EXPO2015artfun
2015-02-12,92274,EXPO2015dolceamaro
