username,photosCount,commentsCount,likesCount
"tupus59",10,3,44
"nino_testa",156,7,151
"coconutavocado",3,10,0
"cucinalibriegatti",5,1,220
"l_inthekitchen",24,1,26
"silvia_cortinovis",6,1,99
"clairetosee",3,1,0
"elenaoricelli_",1,2,0
"ilary96cordar",5,3,22
"bellaisa71",16,2,8
"hakunamatata55",26,3,0
"antonella_labita",1,1,0
"biancolavanda",14,47,29
"marziairis",1,1,0
"ariannamartinotti",58,7,53
"nenesunshine",7,1,3
"miryaelisabeth",6,2,40
"good_food_lab",7,10,26
"food2taste",65,12,41
"botanica_lab",2,6,83
"mariag_inst",6,2,0
"iamtessale",2,6,3
"angelafonzio",18,4,13
"fabriziascorzo",42,4,41
"giupi_igiagi_fitandfun",7,6,8
"rrang_kim",29,4,44
"laviadelgusto",7,19,2
"beautyfoodgeek",28,29,36
"agatapiu",32,3,3
"andrealunachef",26,1,64
"simona_990",44,7,8
"callegaroalessia",115,2,28
"thepennydropped",3,6,10
"gianina.rose",3,6,68
"recettedubonheur",34,3,45
"laangie",6,10,12
"aitecch",26,8,54
"chiccadoc",1,13,96
"andreina.f",5,2,2
"marcello_attanasio",6,31,71
"fujitsu_nakamura",2,2,3
"zuccheroinvaligia",7,2,3
"pupa17",12,79,3
"wendy_charliebanana",9,5,5
"mamma_gy",105,82,223
"mariroseph",144,29,23
"lamiacasashabby",51,60,101
"tery1717",4,5,7
"giadiins",26,3,465
"sbubi87",9,3,11
"matteomartini_",16,1,21
"thea7",135,14,27
"ali_capoferri",53,47,51
"elna75it",2,1,45
"lavinia_porrello",7,1,68
"federicabuccoli",52,28,88
"ilpandizenzero",2,16,118
"iridea13",1,1,1
"silvianagliati",167,20,21
"silcre",7,25,26
"noras_world_",14,16,1
"annamoru",78,246,145
"camilla_brandi",2,3,0
"panifici_bocconcino",28,6,23
"kitchenelly",46,1,37
"avitel54",2,1,26
"matticaste_",1,1,2
"firstxy",1,1,0
"marzia.ambra",2,4,20
"marikasavini",57,36,29
"roberta_cardoni",11,12,203
"depasqui",44,37,66
"annick_thiele",112,46,133
"adaywithv",5,1,6
"vale_lovis",10,10,21
"ricettemagiche",30,16,50
"cook_eat_love",77,24,115
"monolocaledelgusto",208,18,86
"christiancarta",26,25,56
"rachele_landini",21,14,234
"marta_monachino",31,47,14
"alice_eilbianconiglio",6,9,23
"altro_bologna",21,13,67
"ficoeuva",8,25,30
"gastronomiadaemilio",2,2,9
"somethingaboutilo",34,9,55
"mggelisa",1,1,0
"cuocaxamore",29,53,87
"lalunasulcucchiaio",9,22,585
"cirus",8,38,43
"bozz_m",56,20,11
"coluco",84,3,24
"1popi2",20,44,92
"phil_sonow",60,14,46
"ioconmiofiglio",5,7,48
"msbunbury",2,2,19
"renatamarini55",22,4,182
"destinationshopping",10,3,8
"quantomanca",1,1,0
"cucinaearmonia",43,38,237
"silvia_parma",2,3,61
"andreacarlolonati",1,1,79
"_ilazan_",8,8,7
"letiziavanelli",3,5,8
"profcri",3,1,4
"la_greg74",15,27,16
"federicchiog7",13,2,2
"cataldorossella",8,1,129
"giardiniepasticcini",37,34,290
"d_ariab",28,8,28
"federicatj",29,13,590
"aricciolina",15,22,16
"lapulcetraifornelli",13,1,48
"gaya_ga",9,1,31
"lablondeenfarinee",13,5,54
"sereabba",20,2,77
"mo_perrucci",13,21,13
"closetteblog",3,11,34
"elisappunti",11,1,244
"sara_giovi",1,2,0
"elapassionecucina",24,12,291
"babiassi",1,2,6
"lu_firovi",38,126,439
"lacasadellebriciole",41,134,448
"diegodidonato",4,1,2
"mcvill",26,1,1
"frapoli94",11,2,90
"gr_photo",7,6,2
"amisuradibimbo",17,1,14
"angelamanna1",12,25,104
"marygracegrace",10,1,16
"simopellez",21,5,8
"silviettaqb",3,1,116
"smilebeautyandmore",1,20,15
"ricetteracconti",3,2,26
"traccediseppia",4,9,46
"davigold",22,5,8
"expo2015milano",21,3,268
"martastreet",43,7,63
"daniela_corti",20,23,103
"cecialiann",25,6,29
"ellerrenne",7,1,15
"luigi_marangolo",52,160,232
"ele_21",68,63,135
"elebre82",77,7,56
"chocolateballroom",23,1,168
"chiara_mente92",69,46,176
"citymanu",4,63,133
"erikamaggi14",9,4,8
"manu_sco21",1,1,0
"fatavinnie",36,1,395
"gaia_fx",3,3,0
"vitasumarte_g",8,64,204
"dinnerinprogress",25,30,280
"lalessiuccia",6,3,271
"lalucanaincucina",57,32,376
"yourexpo2015",109,43,3305
"olgus_designs",21,46,32
"benegigi",6,4,88
"__mariachiara1_",26,278,224
"mariarosapalmi",35,2,75
"vanessaegia",5,3,0
"lucia_basile_jr",9,1,141
"stearte",8,4,136
"tizzia",22,54,28
"fediciabi",69,9,22
"giuliana_chiocchetti",7,1,1
"mayazetaci",34,218,585
"otis10782mi",4,2,83
"limoncina",6,8,7
"sundaymorninglight",56,24,53
"liciasangermano",88,14,344
"bchatelle",7,2,7
"stefscakes",22,3,1139
"alessandramannelli",80,411,93
"valevalefranci",129,66,0
"dietistapiovanelli",36,14,5
"katyafp",4,14,192
"tittagianni.gt",1,7,170
"flavide",1,1,0
"mariamayabosco",4,2,15
"fenice_mp",31,8,31
"anna_indreamland",13,15,89
"valentinivillage",35,40,282
"enricopara28",2,9,35
"chiarapassion",4,3,39
"headlesschickblog",112,62,109
"ziggyinthekitchen",23,2,64
"marilenafra",28,1,315
"timoebasilico",127,736,355
"astabea",36,63,259
"chiediloalladani",1,4,12
"rosssunshine",4,0,7
"danieba85",2,0,7
"sarahliberman",53,0,65
"cooplovescolors",3,0,5
"melonespaziale",4,0,109
"sognotrentino",16,0,2
"renataterzaghi",2,0,2
"lety.80",2,0,1
"alessia11asia",2,0,0
"ettamason",1,0,0
"elita_90",1,0,0
"la_ellis",1,0,0
"saku.ciliegina",1,0,11
"lo_juan",2,0,7
"cookingathomeindubai",14,0,13
"marikarinaldi98",5,0,35
"chiarafrancioli",13,0,7
"laraparossa",9,0,2
"ecrinmutfakda",1,0,4
"alinaldo",8,0,1
"elisaevangelisti",4,0,15
"myhoming",25,0,4
"honey_laurina",2,0,1
"elizabethjulieshanti",1,0,32
"annagio_expo2015",4,0,10
"appuntigolosi",4,0,4
"sullagodelramo",4,0,4
"ilavviola",4,0,238
"agnesgullotta",1,0,134
"heyitsmechiara",8,0,6
"annylees",13,0,20
"yannbros",4,0,26
"fattoincasaepiubuono",11,0,217
"aletamberi",1,0,11
"castellodegliangeli",5,0,1
"saradossena",8,0,2
"lamascaincucina",11,0,3
"eazytable",5,0,13
"crivismi",13,0,277
"dilorenzomartina",1,0,2
"venera_neri",1,0,1
"clindina",28,0,39
"leonardopirolozzi",8,0,6
"winedrop",8,0,17
"val3ria85",7,0,39
"beleggiadavid",2,0,1
"simo2121",2,0,5
"food.4all",18,0,3
"ristorante_alpesciolino",7,0,74
"robertarex",1,0,5
"raviolificioloscoiattolo",3,0,10
"antonioilnero",1,0,7
"original_marin",2,0,21
"giomercadante",4,0,1
"antoleosanta",1,0,23
"giuliagattiglia",1,0,2
"ho.una.galassia.nell.armadio",13,0,33
"thejasminegarden",2,0,13
"ceschinab",1,0,1
"camillasfood",12,0,85
"andrew_frizz",15,0,10
"blubrunella",1,0,13
"wow_tdv",2,0,1
"annaguerisoli",9,0,18
"robonica1",2,0,1
"mariaes_",6,0,1
"ricetteesegreti",15,0,11
"rosannadercole",8,0,58
"alyha83",1,0,3
"_maryclare__",174,0,165
"pastaaddict",10,0,29
"foodallergies_diary",1,0,7
"artusiromastayhungrystaygreen",7,0,10
"pracca20",24,0,43
"mg_malvy",8,0,18
"stefanopagliucaphotography",14,0,48
"vismavera",5,0,2
"robertamorasco",2,0,11
"puckfolletto",1,0,4
"secretkitchenclub",2,0,14
"ma13hima",1,0,10
"ristorantedarino",1,0,12
"poppyandlemonfood",2,0,1
"doublespiral",20,0,18
"matteo_meloni1986",2,0,1
"roberta.dellapepa",1,0,8
"tabata64",12,0,21
"camy326",1,0,21
"ilmondomangia",12,0,19
"marinasarro",6,0,10
"claudiamalva",2,0,17
"inside_blast1978",1,0,10
"giorgia_zoe_f",18,0,21
"giovannagullo83",20,0,24
"federica_bw",5,0,1
"giromangiandocatania",3,0,8
"stefilabocci",2,0,7
"sarazanga",6,0,13
"annapiapizzulli",2,0,11
"idinaz",1,0,2
"carm.lyta",9,0,139
"panevinoblog",19,0,51
"rgenghi",1,0,8
"doyku",60,0,8
"gianpaolo_lantermo",14,0,4
"aleloi28",7,0,1
"lu_geremy",3,0,4
"maracaumo",1,0,3
"sillaguerrini",3,0,10
"galleria33",1,0,3
"silviapranteddu",1,0,4
"mondodiangelina",25,0,3
"pastaisanniti",5,0,8
"dolceileana",25,0,398
"paola83princess",2,0,6
"catee76",9,0,32
"ale_crisafulli89",1,0,1
"unafiabaincucina",35,0,76
"sarab.xx",1,0,3
"lall3smile",54,0,10
"giulicavazzoli",2,0,2
"sabridefri",3,0,1
"zonca65",2,0,9
"saracroveri",3,0,1
"aliceinmadsland",2,0,41
"marcoguerreroleon",147,0,1
"michelaschj",12,0,10
"ieronuccia",5,0,7
"elyfelis",11,0,3
"marycarry",1,0,11
"incucinaconpijou",31,0,35
"_ellieen",1,0,24
"areatraduzioni",1,0,1
"polmargo",2,0,3
"sandrozym",2,0,5
"aston94",6,0,4
"dada_gr",1,0,8
"weareatlove",4,0,3
"fededv91",46,0,229
"pamela_panpepato",8,0,46
"francook32",3,0,3
"catecanal",1,0,2
"balanzonepuntocom",7,0,23
"ph0t0lex",2,0,95
"alice_morelli",7,0,10
"taste.and.shake",41,0,151
"miriam.crivelli",4,0,12
"lucia_trt",8,0,8
"extravirginshop",9,0,28
"martinamilani",4,0,1
"alessiomap",3,0,11
"i_piatti_di_angy_e_laura",1,0,134
"noe_g_92",2,0,2
"cappuccinoecornetto",44,0,58
"lamiacucinarossa",1,0,2
"ralph.geerts",3,0,2
"fratravel",16,0,9
"manuelabonfiglio",1,0,5
"donatofuscovisualartist",4,0,10
"thefarmersit",2,0,27
"veronicareda",8,0,2
"alola70",1,0,30
"giannicavola",6,0,6
"killingsnobbery",4,0,2
"eletambini",2,0,2
"mpaderi",18,0,16
"martacusci",4,0,9
"zucchero.zenzero",4,0,35
"turismocinese",1,0,22
"belsdmotta",7,0,2
"smellofdaisies",2,0,6
"dmcreativeventi",9,0,8
"laura_pavesi",10,0,2
"italianstylebnb",46,0,22
"samuelevisotti",6,0,4
"enrica_pranteddu",5,0,5
"gianina_rose",3,0,43
"oleandraval",1,0,2
"turrins_",1,0,2
"rafenat_star",4,0,8
"l__ersy__l",7,0,8
"alebiondelli",22,0,41
"pastiscucina",13,0,8
"millymurabito",5,0,7
"_modo_",1,0,5
"lagonzi",2,0,25
"erimask",1,0,4
"giumalex",5,0,13
"giulivassena",4,0,8
"alfonsinadellarocca",5,0,10
"maddalenagoi_foto",3,0,10
"dani_misu",18,0,158
"bigodino_it",1,0,12
"jedilord84",6,0,29
"cristinanolli",2,0,568
"martacolbix",3,0,5
"ilaria.pitlane",148,0,66
"ilovecookingathome",25,0,80
"laollo",12,0,7
"infra_fb",3,0,15
"giorgiobassani",3,0,11
"albacro",2,0,2
"sara.tes",9,0,20
"serenaselva",14,0,10
"enricotamburini",2,0,26
"dapaoletta",1,0,1
"fabiogallina1973",1,0,3
"ghendalf",2,0,2
"marcoppes",5,0,2
"davideguery",5,0,6
"forn_sant_francesc",1,0,47
"nenathewayiam",33,0,43
"gaialagaia",8,0,27
"lacucinadiema",2,0,85
"mblacks",3,0,3
"ileanstavilla",4,0,1
"francigari",1,0,7
"heart_of_strawberry",1,0,19
"giorgio_galimberti",6,0,8
"raviolifattiamano",2,0,79
"alicegriva",22,0,155
"claubaro",15,0,33
"serpeppe",28,0,14
"_.anna.g_",3,0,71
"sirianagiusti",7,0,8
"edoardoborelli",1,0,1
"nancy_gabs",12,0,2
"debby.lo",1,0,1
"gabriellemic",52,0,1
"winophy",2,0,11
"darumatabadul",1,0,5
"gaietmag",3,0,9
"giorgioporri71",2,0,3
"cappuccinoaddicted",3,0,95
"giacomo_fedeli",4,0,10
"erikaporte",4,0,15
"rossovermiglio75",1,0,7
"caffefloriamrestaurant",48,0,1
"michichurch",3,0,1
"zarinaotorres",3,0,15
