_id,count
5,10
3,25
6,139
4,4
2,29
11,976
7,109
1,52
10,597
17,549
13,2352
8,665
19,323
14,703
9,575
12,974
16,478
21,396
15,519
18,562
23,321
0,155
20,495
22,1117
