votes,timestamp
88,2014-12-28T21:45:29.713Z
88,2014-12-28T22:45:37.951Z
88,2014-12-28T23:45:48.121Z
88,2014-12-29T00:46:04.235Z
88,2014-12-29T01:46:13.584Z
88,2014-12-29T02:46:22.574Z
88,2014-12-29T03:46:32.105Z
88,2014-12-29T04:46:41.785Z
88,2014-12-29T05:46:51.797Z
88,2014-12-29T06:47:01.297Z
88,2014-12-29T07:47:10.784Z
88,2014-12-29T08:47:21.284Z
88,2014-12-29T09:47:29.886Z
88,2014-12-29T10:47:41.942Z
89,2014-12-29T11:47:51.836Z
89,2014-12-29T12:48:03.132Z
89,2014-12-29T13:48:14.288Z
89,2014-12-29T14:48:30.238Z
89,2014-12-29T15:48:43.086Z
89,2014-12-29T16:48:55.992Z
89,2014-12-29T17:49:09.426Z
89,2014-12-29T18:49:23.702Z
89,2014-12-29T19:49:38.594Z
89,2014-12-29T20:49:54.165Z
89,2014-12-29T21:50:09.753Z
89,2014-12-29T22:50:32.806Z
89,2014-12-29T23:50:48.900Z
89,2014-12-30T00:51:04.763Z
89,2014-12-30T01:51:22.164Z
89,2014-12-30T02:51:38.613Z
89,2014-12-30T03:51:55.145Z
89,2014-12-30T04:52:11.633Z
89,2014-12-30T05:52:27.758Z
89,2014-12-30T06:52:44.097Z
89,2014-12-30T07:52:59.715Z
89,2014-12-30T08:53:16.542Z
89,2014-12-30T09:53:33.889Z
89,2014-12-30T10:53:52.763Z
89,2014-12-30T11:54:11.123Z
89,2014-12-30T12:54:28.747Z
89,2014-12-30T13:54:46.354Z
89,2014-12-30T14:55:04.657Z
89,2014-12-30T15:55:23.582Z
89,2014-12-30T16:55:41.678Z
89,2014-12-30T17:56:00.236Z
89,2014-12-30T18:56:19.542Z
89,2014-12-30T19:56:38.783Z
89,2014-12-30T20:56:59.067Z
89,2014-12-30T21:57:19.855Z
89,2014-12-30T22:57:40.875Z
89,2014-12-30T23:58:01.368Z
89,2014-12-31T00:58:21.275Z
89,2014-12-31T01:58:42.546Z
89,2014-12-31T02:59:03.696Z
89,2014-12-31T03:59:24.966Z
89,2014-12-31T04:59:46.034Z
89,2014-12-31T06:00:06.810Z
89,2014-12-31T07:00:28.071Z
89,2014-12-31T08:00:49.147Z
89,2014-12-31T09:01:10.648Z
89,2014-12-31T10:01:32.829Z
89,2014-12-31T11:01:54.697Z
89,2014-12-31T12:02:18.971Z
89,2014-12-31T13:02:41.494Z
89,2014-12-31T14:03:03.967Z
89,2014-12-31T15:03:26.657Z
89,2014-12-31T16:03:49.290Z
89,2014-12-31T17:04:14.139Z
89,2014-12-31T18:04:38.779Z
89,2014-12-31T19:05:03.038Z
89,2014-12-31T20:05:28.284Z
89,2014-12-31T21:05:52.930Z
89,2014-12-31T22:06:17.513Z
89,2014-12-31T23:06:43.198Z
89,2015-01-01T00:07:09.253Z
89,2015-01-01T01:07:34.627Z
89,2015-01-01T02:08:00.076Z
89,2015-01-01T03:08:25.828Z
89,2015-01-01T04:08:52.338Z
89,2015-01-01T05:09:18.710Z
89,2015-01-01T06:09:45.473Z
89,2015-01-01T07:10:11.983Z
89,2015-01-01T08:10:38.058Z
89,2015-01-01T09:11:04.198Z
89,2015-01-01T10:11:29.922Z
89,2015-01-01T11:11:57.349Z
89,2015-01-01T12:12:23.451Z
89,2015-01-01T13:12:50.287Z
89,2015-01-01T14:13:16.882Z
89,2015-01-01T15:13:44.451Z
89,2015-01-01T16:14:11.547Z
89,2015-01-01T17:14:39.118Z
89,2015-01-01T18:15:06.893Z
89,2015-01-01T19:15:34.996Z
89,2015-01-01T20:16:03.225Z
89,2015-01-01T21:16:31.387Z
89,2015-01-01T22:17:00.843Z
89,2015-01-01T23:17:33.178Z
89,2015-01-02T00:18:00.839Z
89,2015-01-02T01:18:29.257Z
89,2015-01-02T02:18:56.852Z
89,2015-01-02T03:19:24.474Z
89,2015-01-02T04:19:53.094Z
89,2015-01-02T05:20:22.767Z
89,2015-01-02T06:20:51.426Z
89,2015-01-02T07:21:19.671Z
89,2015-01-02T08:21:48.515Z
89,2015-01-02T09:22:17.059Z
89,2015-01-02T10:22:45.224Z
89,2015-01-02T11:23:14.538Z
89,2015-01-02T12:23:43.832Z
89,2015-01-02T13:24:19.037Z
89,2015-01-02T14:24:53.178Z
89,2015-01-02T15:25:30.077Z
89,2015-01-02T16:26:07.289Z
89,2015-01-02T17:26:41.558Z
89,2015-01-02T18:27:18.287Z
89,2015-01-02T19:27:54.974Z
89,2015-01-02T20:28:32.947Z
89,2015-01-02T23:00:12.631Z
89,2015-01-02T23:01:22.192Z
89,2015-01-02T23:12:25.540Z
89,2015-01-02T23:20:02.878Z
89,2015-01-03T00:20:24.099Z
89,2015-01-03T01:20:44.737Z
89,2015-01-03T02:21:05.553Z
89,2015-01-03T03:21:25.788Z
89,2015-01-03T04:21:46.133Z
89,2015-01-03T05:22:07.189Z
89,2015-01-03T06:22:26.825Z
89,2015-01-03T07:22:46.498Z
89,2015-01-03T08:23:07.286Z
89,2015-01-04T00:20:23.459Z
90,2015-01-04T01:20:23.462Z
90,2015-01-04T02:20:23.840Z
90,2015-01-04T03:20:23.413Z
90,2015-01-04T04:20:23.411Z
90,2015-01-04T05:20:23.484Z
90,2015-01-04T06:20:23.625Z
90,2015-01-04T07:20:23.718Z
90,2015-01-04T08:20:23.980Z
90,2015-01-04T09:20:23.463Z
90,2015-01-04T10:20:23.836Z
90,2015-01-04T11:20:23.614Z
90,2015-01-04T12:20:23.603Z
90,2015-01-04T13:20:24.040Z
90,2015-01-04T14:20:24.088Z
90,2015-01-04T15:20:24.327Z
90,2015-01-04T16:20:24.486Z
90,2015-01-04T17:20:24.850Z
90,2015-01-04T18:20:24.917Z
90,2015-01-04T19:20:25.498Z
90,2015-01-04T20:20:25.148Z
90,2015-01-04T21:20:25.252Z
90,2015-01-04T22:20:25.178Z
90,2015-01-04T23:20:25.467Z
90,2015-01-05T00:20:24.717Z
90,2015-01-05T01:20:24.706Z
90,2015-01-05T02:20:25.169Z
90,2015-01-05T03:20:24.804Z
90,2015-01-05T04:20:25.199Z
90,2015-01-05T05:20:24.776Z
90,2015-01-05T06:20:25.214Z
90,2015-01-05T07:20:25.095Z
90,2015-01-05T08:20:25.196Z
90,2015-01-05T09:20:25.467Z
90,2015-01-05T10:20:25.346Z
90,2015-01-05T11:20:25.425Z
90,2015-01-05T12:20:26.143Z
90,2015-01-05T13:20:25.922Z
90,2015-01-05T14:20:26.126Z
90,2015-01-05T15:20:26.188Z
90,2015-01-05T16:20:28.494Z
90,2015-01-05T17:20:26.272Z
90,2015-01-05T18:20:25.911Z
90,2015-01-05T19:20:26.487Z
90,2015-01-05T20:20:26.922Z
90,2015-01-05T21:20:26.780Z
90,2015-01-05T22:20:26.667Z
90,2015-01-05T23:20:26.224Z
90,2015-01-06T00:20:26.792Z
90,2015-01-06T01:20:26.650Z
90,2015-01-06T02:20:26.513Z
90,2015-01-06T03:20:26.831Z
90,2015-01-06T04:20:27.351Z
90,2015-01-06T05:20:26.591Z
90,2015-01-06T06:20:26.866Z
90,2015-01-06T07:20:26.947Z
90,2015-01-06T08:20:27.291Z
90,2015-01-06T09:20:26.916Z
90,2015-01-06T10:20:26.866Z
90,2015-01-06T11:20:27.647Z
90,2015-01-06T12:20:28.105Z
90,2015-01-06T13:20:28.881Z
90,2015-01-06T14:20:27.784Z
90,2015-01-06T15:20:28.520Z
90,2015-01-06T16:20:28.393Z
90,2015-01-06T17:20:28.579Z
90,2015-01-06T18:20:29.072Z
90,2015-01-06T19:20:28.800Z
90,2015-01-06T20:20:28.842Z
90,2015-01-06T21:20:33.257Z
90,2015-01-06T22:20:29.386Z
90,2015-01-06T23:20:29.036Z
90,2015-01-07T00:20:28.950Z
90,2015-01-07T01:20:28.893Z
90,2015-01-07T02:20:29.630Z
90,2015-01-07T03:20:29.032Z
90,2015-01-07T04:20:29.503Z
90,2015-01-07T05:20:29.112Z
90,2015-01-07T06:20:29.012Z
90,2015-01-07T07:20:29.159Z
90,2015-01-07T08:20:28.861Z
90,2015-01-07T09:21:11.472Z
90,2015-01-07T10:22:03.038Z
90,2015-01-07T11:20:39.081Z
90,2015-01-07T12:20:30.195Z
90,2015-01-07T13:20:29.779Z
90,2015-01-07T14:20:31.129Z
90,2015-01-07T15:20:29.932Z
90,2015-01-07T16:20:30.147Z
90,2015-01-07T17:20:30.391Z
90,2015-01-07T18:20:30.724Z
90,2015-01-08T16:04:35.146Z
90,2015-01-08T17:02:19.755Z
90,2015-01-08T18:02:19.790Z
90,2015-01-08T19:02:18.676Z
90,2015-01-08T20:02:15.511Z
90,2015-01-08T21:02:37.240Z
90,2015-01-08T22:02:35.718Z
90,2015-01-08T23:02:21.044Z
90,2015-01-09T00:02:14.609Z
90,2015-01-09T01:02:15.601Z
90,2015-01-09T02:02:04.587Z
90,2015-01-09T03:02:13.969Z
90,2015-01-09T04:02:14.441Z
90,2015-01-09T05:02:22.025Z
90,2015-01-09T06:02:20.649Z
90,2015-01-09T07:02:11.907Z
90,2015-01-09T08:02:20.448Z
90,2015-01-09T09:02:26.046Z
90,2015-01-09T10:02:14.800Z
90,2015-01-09T11:02:10.348Z
90,2015-01-09T12:02:14.895Z
90,2015-01-09T13:02:28.240Z
90,2015-01-09T14:02:30.106Z
90,2015-01-09T15:02:19.305Z
90,2015-01-09T16:02:24.702Z
90,2015-01-09T17:02:27.975Z
90,2015-01-09T18:02:21.624Z
90,2015-01-09T19:02:23.498Z
90,2015-01-09T20:02:18.709Z
90,2015-01-09T21:02:23.704Z
90,2015-01-09T22:02:16.748Z
90,2015-01-09T23:02:25.092Z
90,2015-01-10T00:02:23.313Z
90,2015-01-10T01:02:30.125Z
90,2015-01-10T02:02:18.928Z
90,2015-01-10T03:02:13.788Z
90,2015-01-10T04:02:21.585Z
90,2015-01-10T05:02:32.573Z
90,2015-01-10T06:02:13.674Z
90,2015-01-10T07:02:21.890Z
90,2015-01-10T08:02:16.290Z
90,2015-01-10T09:02:19.882Z
90,2015-01-10T10:02:14.273Z
90,2015-01-10T11:02:16.556Z
90,2015-01-10T12:02:17.883Z
90,2015-01-10T13:02:20.597Z
90,2015-01-10T14:02:28.793Z
90,2015-01-10T15:02:33.751Z
90,2015-01-10T16:02:28.777Z
90,2015-01-10T17:02:28.249Z
90,2015-01-10T18:02:31.952Z
90,2015-01-10T19:02:23.480Z
90,2015-01-10T20:02:27.684Z
90,2015-01-10T21:02:29.122Z
90,2015-01-10T22:02:24.625Z
90,2015-01-10T23:02:22.118Z
90,2015-01-11T00:02:25.271Z
90,2015-01-11T01:02:22.921Z
90,2015-01-11T02:02:27.889Z
90,2015-01-11T03:02:27.823Z
90,2015-01-11T04:02:22.964Z
90,2015-01-11T05:02:17.047Z
90,2015-01-11T06:02:32.059Z
90,2015-01-11T07:02:19.344Z
90,2015-01-11T08:02:22.054Z
90,2015-01-11T09:02:23.623Z
