totalComments,totalLikes,earlyLikes,earlyComments,category
2.15,43.2,38.25,1.55,annuncio
0.7777777777777778,23,20.27777777777778,0.6111111111111112,recall
5.428571428571429,44.285714285714285,39,3.7142857142857144,finalisti
8.2,81.8,71.8,8.2,vincitori
2.15,26.45,24.35,1.8,other
6.4953271028037385,68.54205607476635,57.467289719626166,5.831775700934579,composite
