username,photosCount,commentsCount,likesCount
"perlapol",0.0,1,5
"adamseye",0.0,3,7
"sleefood",0.0,1,24
"barbarasjourney",0.0,1,0.0
"tonylovely",0.0,1,0.0
"bodyfitbychristina",0.0,1,1
"sandyferli",0.0,1,0.0
"ramochic",0.0,4,15
"elevationzer0",0.0,1,1
"turo93",0.0,1,15
"sara_starla",0.0,4,0.0
"spread_the_thread",0.0,1,2
"freshcreativeagency",0.0,1,0.0
"hence9keeping",0.0,1,0.0
"chicagoforrest",0.0,1,0.0
"daria_909_",0.0,1,3
"thepersiansalad_",0.0,2,2
"louloucel",0.0,1,0.0
"mislead3statistics",0.0,1,0.0
"network6reminding",0.0,1,1
"cirus",8,1,31
"yoco55",0.0,7,4
"justlovinglivinglife",0.0,1,13
"jaukuhinji",0.0,1,43
"franchino",0.0,1,1
"mablebeauty88",0.0,1,0.0
"black___ninja1",0.0,1,0.0
"frammys",0.0,3,59
"creativity_flower",0.0,2,0.0
"laura_cy_71",0.0,1,1
"vivirose_",0.0,1,3
"jacobfood",0.0,1,7
"romeexpress",18,1,13
"gianina.rose",3,3,0.0
"viesseauto",0.0,1,10
"ficoeuva",8,22,26
"mabrunofficial",0.0,1,6
"sweetvanillasbakery",0.0,1,24
"bolognafood",0.0,3,30
"dietistapiovanelli",36,7,5
"free.cameralens.mug",0.0,1,0.0
"lenselse_erika",0.0,1,1
"developed3marriage",0.0,1,0.0
"silvianagliati",167,20,20
"vivajosefine",0.0,1,0.0
"mikimatisse1",0.0,1,5
"photocandyapp",0.0,1,2
"cecialiann",25,5,27
"thegummysweet",0.0,1,1
"agatapiu",32,3,3
"andrealunachef",26,1,58
"bozz_m",56,10,11
"goutdfood",0.0,2,113
"johnnyjet",0.0,1,4
"etamilerosi",0.0,1,7
"sylgr",0.0,1,0.0
"theartisticgallery",0.0,1,3
"tonemaurstad",0.0,1,0.0
"helloiamchiara",0.0,1,0.0
"silviac_ilcassettodellericette",25,1,167
"cristicricri2",0.0,2,11
"pupa17",12,29,1
"elenaberr_",0.0,4,2
"labettina77",0.0,1,30
"sileapds",0.0,1,11
"big_stagram",0.0,1,0.0
"pippi_four",0.0,1,12
"anton.ego.food",0.0,1,0.0
"depasqui",44,30,65
"socoolstuff1",0.0,1,0.0
"cinzietta32",0.0,1,0.0
"closetteblog",3,2,31
"luisela_simao",0.0,1,8
"christiancarta",26,14,26
"rizzorosetta",5,9,6
"wilsonadimir_wichojr",0.0,1,0.0
"loves_scott_bikes",0.0,1,1
"ali_capoferri",53,2,46
"photographyfortravellers",0.0,1,4
"marino_dibari",0.0,1,0.0
"ema_nu_ele",0.0,1,1
"vassiliev_alexandr",0.0,1,0.0
"fabriziasiena",0.0,1,0.0
"ilgiardinonascosto",0.0,3,7
"therealkwaichi",0.0,2,36
"vincent_0812",0.0,1,23
"kaliduuu",0.0,1,42
"mikka180681",0.0,1,16
"entre_deux_rives_b_and_b",0.0,1,7
"lunanormanna",0.0,3,32
"mendoza_roger",0.0,1,0.0
"ramblingrama",0.0,1,3
"cristucci",0.0,1,1
"marmellatadilamponi",0.0,1,22
"adam_giola",0.0,1,0.0
"jj_editor_gerardopineda",0.0,1,1
"cajdea",0.0,1,8
"marcello_attanasio",6,14,64
"cake_bake",0.0,2,92
"the_youngdramma_hesfire",0.0,1,0.0
"arabian_streetwear",0.0,1,1
"ioconmiofiglio",5,4,47
"nonninagio",0.0,4,381
"likepervect",0.0,1,0.0
"s_22",0.0,1,6
"maet83",0.0,2,0.0
"lapichinaincucina",0.0,1,21
"marta_monachino",31,14,3
"_mp_93",44,14,5
"rosarosebistrot",24,18,6
"societaumanitaria",14,17,0.0
"adelaide_arsuffi",0.0,4,0.0
"emotional.eating",0.0,5,133
"astabea",36,27,234
"ekaterinamurphy",0.0,1,7
"biancavaniglia",59,7,27
"code_dre",0.0,1,0.0
"claliccia86",0.0,1,12
"ponyld",0.0,1,0.0
"feltballrugaustralia",0.0,1,1
"bribrilli",0.0,1,2
"giogio51za",0.0,1,2
"theeyeofthelion",0.0,1,0.0
"lizaveta_andrevna",0.0,1,0.0
"zcostanza",0.0,3,1
"everythingbutwine",0.0,1,2
"giuliamalerba_",0.0,1,1
"lovecooking_",9,1,26
"giovannaromito",0.0,1,21
"ilpandizenzero",2,2,97
"alessia_cullari",0.0,1,0.0
"shrinktea",0.0,1,0.0
"marti_ali_cri",0.0,1,0.0
"cristinagangemi",0.0,1,2
"iamtessale",2,3,1
"liciacaponera02",0.0,1,0.0
"mamma_gy",105,33,219
"vitasumarte_r",0.0,1,49
"aperifish",0.0,1,88
"t_ocd",0.0,1,1
"bild_des_tages",0.0,1,0.0
"muffin_svampi",0.0,1,0.0
"valy_lola",0.0,1,8
"luci.vasconcelos.16",0.0,2,23
"elisapandamelie",0.0,1,5
"cristianagiovoni",0.0,1,4
"chiara.fabri.byron",0.0,2,0.0
"monto18_",0.0,1,0.0
"paolo.gr_94",0.0,1,15
"shotbyana",0.0,3,9
"valebabi",0.0,1,1
"rockngiu",0.0,2,6
"la_it_luce",0.0,1,12
"besosmade",0.0,1,4
"lastrubia",0.0,2,0.0
"gio_m__",0.0,1,11
"jgerardo_s",0.0,1,0.0
"giampi.b",0.0,2,33
"samgiacopelli",0.0,1,27
