timestamp,providerId
2015-02-16T14:00:33.958Z,866804603017535788_1546125551
2015-02-19T15:45:37.525Z,910229698290124382_1683966536
2015-02-20T08:59:18.735Z,924426185734123894_1056869123
2015-02-21T09:13:35.883Z,925146033493423112_1575703884
2015-02-17T15:28:51.046Z,720437618652318514_25331633
2015-02-20T19:59:16.001Z,900021423610866895_37251098
2015-02-19T14:56:10.628Z,923878813145728007_1486910992
2015-02-20T12:18:08.204Z,894378149168062771_1546125551
2015-02-14T14:12:47.709Z,608103159312232092_19501610
2015-02-19T15:45:37.713Z,917476536797889874_1683966536
2015-02-21T17:22:26.704Z,925410330915027308_1280577733
2015-02-16T09:00:33.337Z,921034436569179300_1251776768
2015-02-17T09:39:01.006Z,919634787216842877_6432487
2015-02-19T11:54:22.132Z,896468119227769045_1546125551
2015-02-18T11:41:38.050Z,896450263345943900_27960660
2015-02-18T09:40:48.692Z,450116269985918842_35467202
2015-02-20T17:23:05.141Z,885338806640392093_49252764
2015-02-16T23:05:15.824Z,754972794943925566_19373546
2015-02-16T15:00:34.337Z,829540405703422641_14764683
2015-02-16T23:05:15.673Z,921895105677874529_296546652
2015-02-14T14:12:47.657Z,354698179206786755_19501610
2015-02-16T10:00:43.165Z,516424083938314908_25331633
2015-02-16T10:00:43.602Z,853784249269526761_1546125551
2015-02-16T09:00:32.938Z,921044421817619335_322729819
2015-02-19T15:45:38.173Z,923821366230253263_1552126150
2015-02-18T11:41:38.042Z,888429059339081020_27960660
2015-02-16T23:05:16.169Z,916744897029774207_617581829
2015-02-16T10:00:43.480Z,792590605163793286_25331633
2015-02-14T13:12:47.066Z,920198273447308865_220799170
2015-02-18T12:42:01.674Z,760980313840520500_637715482
2015-02-19T08:51:38.709Z,923710850925521393_1563376465
2015-02-14T14:12:47.852Z,901664914539615272_642701092
2015-02-16T09:00:34.492Z,920486539413188937_1056869123
2015-02-18T08:40:24.584Z,723811298619584391_35467202
2015-02-16T10:00:44.146Z,882515278017497855_1441941441
2015-02-16T09:00:32.590Z,921539670375130803_1202022296
2015-02-19T15:45:38.370Z,742671841600477880_443814613
2015-02-20T23:02:24.815Z,924763264460724447_195570197
2015-02-17T20:36:08.501Z,922567973062172591_254195374
2015-02-19T21:50:55.556Z,919022367403372439_19373546
2015-02-14T20:13:04.042Z,655507302265893067_268578819
2015-02-21T12:17:29.062Z,925259478334081713_145497721
2015-02-14T14:12:47.733Z,761048518467595832_19501610
2015-02-14T20:13:04.052Z,920433030955596733_1292482365
2015-02-14T14:12:47.845Z,884247624747652808_642701092
2015-02-20T19:59:15.916Z,923792663560444868_235457165
2015-02-17T16:29:11.668Z,696271775908705796_49252764
2015-02-19T18:48:25.498Z,923861037617372563_3145118
2015-02-18T12:42:01.662Z,923099585300462461_1292482365
2015-02-21T14:19:49.047Z,925306985420768312_866988152
2015-02-17T20:36:08.569Z,691363301355282177_254195374
2015-02-19T15:45:37.616Z,912124479744247143_1683966536
2015-02-17T10:48:01.056Z,922298603853619528_1546125551
2015-02-18T13:42:28.867Z,923132865703281916_1562823808
2015-02-14T13:12:46.978Z,916135123853764239_1258946016
2015-02-14T12:12:46.444Z,807759671099159174_1056869123
2015-02-16T15:00:34.349Z,887973770517062435_1546125551
2015-02-14T14:12:47.719Z,634946341081525452_19501610
2015-02-16T23:05:16.157Z,921867293483112450_617581829
2015-02-16T23:05:15.930Z,837695845431989837_635649820
2015-02-16T09:00:33.995Z,765345913966202400_1050249130
2015-02-14T12:12:46.330Z,492024867978938862_247905705
2015-02-20T13:19:08.930Z,924562211106239868_1575703884
2015-02-17T21:36:28.526Z,920827000463799032_268578819
2015-02-20T12:18:07.858Z,908629134375690856_1546125551
2015-02-16T09:00:32.825Z,778028420561724873_1050663928
2015-02-20T10:16:22.670Z,924481247001485603_1546125551
2015-02-20T12:18:07.884Z,907049073453343182_1546125551
2015-02-18T09:40:48.686Z,449405371117891249_35467202
2015-02-20T19:59:15.904Z,918934313769229044_235457165
2015-02-19T20:49:51.724Z,924048989651759611_1056869123
2015-02-17T11:47:33.873Z,905813775134269779_1546125551
2015-02-17T15:28:51.055Z,720391432671169260_25331633
2015-02-18T00:37:36.218Z,905899400537606920_1376079641
2015-02-17T08:39:01.136Z,922247545894647060_1329015428
2015-02-16T10:00:43.453Z,768540717644089869_25331633
2015-02-18T09:40:48.643Z,439146448666389691_35467202
2015-02-14T12:12:45.414Z,908146177294764059_1376079641
2015-02-20T12:18:07.662Z,913858086451060951_1546125551
2015-02-16T09:00:32.630Z,806404728917020677_322729819
2015-02-18T20:45:53.533Z,909955866168466227_55604165
2015-02-18T09:40:48.666Z,439653571510824094_35467202
2015-02-16T10:00:43.716Z,910898867702729322_297468713
2015-02-20T23:02:24.561Z,924864594166536954_235457165
2015-02-17T15:28:50.901Z,922433180818402920_1574448514
2015-02-14T13:12:46.706Z,850915375759484194_1258946016
2015-02-19T20:49:48.737Z,913160973991846127_1546125551
2015-02-19T15:45:37.473Z,909512238574339934_1683966536
2015-02-16T10:00:43.467Z,772615279222557633_25331633
2015-02-16T09:00:33.121Z,921236470616847322_1056869123
2015-02-18T14:42:54.436Z,917322398909657744_266130315
2015-02-14T12:12:46.518Z,671826728247204386_344519709
2015-02-17T10:47:57.540Z,922241184423373806_32109761
